Condition,Turn,Count,Mean,Std,Min,Max,Q25,Median,Q75
Apertus-Eng,1,656,0.0715,0.2471,-0.2500,1.0000,0.0000,0.0000,0.0000
Apertus-Eng,2,1280,0.0624,0.2384,-0.2500,1.0000,0.0000,0.0000,0.0000
Apertus-Eng,3,1248,0.0666,0.2381,-0.2500,1.0000,0.0000,0.0000,0.0000
Apertus-Eng,4,1248,0.0690,0.2462,-0.2500,1.0000,0.0000,0.0000,0.0000
Apertus-Eng,5,864,0.0773,0.2523,-0.2500,1.0000,0.0000,0.0000,0.0000
Apertus-Eng,6,816,0.0663,0.2404,-0.2500,1.0000,0.0000,0.0000,0.0000
Apertus-Trans,1,656,0.4066,0.4429,0.0000,1.0000,0.0000,0.0000,1.0000
Apertus-Trans,2,1280,0.3685,0.4257,0.0000,1.0000,0.0000,0.0000,0.8750
Apertus-Trans,3,1248,0.3526,0.4291,0.0000,1.0000,0.0000,0.0000,0.7812
Apertus-Trans,4,1248,0.3575,0.4233,0.0000,1.0000,0.0000,0.0000,0.7500
Apertus-Trans,5,864,0.3147,0.4177,0.0000,1.0000,0.0000,0.0000,0.7500
Apertus-Trans,6,816,0.3257,0.4194,0.0000,1.0000,0.0000,0.0000,0.7500
GPT-Eng,1,656,0.8022,0.3217,0.0000,1.0000,0.7500,1.0000,1.0000
GPT-Eng,2,1280,0.8065,0.3111,0.0000,1.0000,0.7500,1.0000,1.0000
GPT-Eng,3,1248,0.7739,0.3575,0.0000,1.0000,0.6250,1.0000,1.0000
GPT-Eng,4,1248,0.8271,0.3187,0.0000,1.0000,0.7500,1.0000,1.0000
GPT-Eng,5,864,0.8520,0.3082,0.0000,1.0000,0.8750,1.0000,1.0000
GPT-Eng,6,816,0.8148,0.3566,0.0000,1.0000,0.8750,1.0000,1.0000
GPT-Trans,1,656,0.6435,0.4210,0.0000,1.0000,0.0000,0.8750,1.0000
GPT-Trans,2,1280,0.6480,0.4259,-0.2500,1.0000,0.0000,0.8750,1.0000
GPT-Trans,3,1248,0.5883,0.4515,0.0000,1.0000,0.0000,0.7500,1.0000
GPT-Trans,4,1248,0.6448,0.4400,0.0000,1.0000,0.0000,1.0000,1.0000
GPT-Trans,5,864,0.6646,0.4376,0.0000,1.0000,0.0000,1.0000,1.0000
GPT-Trans,6,816,0.6057,0.4606,0.0000,1.0000,0.0000,1.0000,1.0000
